r	g(r)
0	0
0.05	0
0.1	0
0.15	0
0.2	0
0.25	0
0.3	0
0.35	0
0.4	0
0.45	0
0.5	0
0.55	0
0.6	0
0.65	0
0.7	0
0.75	0
0.8	0
0.85	0.00060031
0.9	0.0951706
0.95	0.939004
1	2.2878
1.05	2.76932
1.1	2.44275
1.15	1.91188
1.2	1.47234
1.25	1.14489
1.3	0.92656
1.35	0.784587
1.4	0.695461
1.45	0.643879
1.5	0.622219
1.55	0.622188
1.6	0.648033
1.65	0.707826
1.7	0.782091
1.75	0.879975
1.8	0.972446
1.85	1.07393
1.9	1.15168
1.95	1.20992
2	1.24682
2.05	1.25132
2.1	1.22205
2.15	1.17128
2.2	1.09168
2.25	1.01793
2.3	0.958889
2.35	0.911932
2.4	0.875993
2.45	0.86248
2.5	0.858365
2.55	0.871951
2.6	0.898234
2.65	0.930994
2.7	0.973878
2.75	1.00926
2.8	1.04121
2.85	1.06992
2.9	1.08225
2.95	1.08689
3	1.08441
3.05	1.06586
